product_id,category,sub_category,main_title,colors
http://eu.puma.com/it/en/pd/afc-home-mens-long-sleeve-jersey/749659.html,"[""New Arrivals"",""Featured"",""Sports"",""Mens""]","[""New Arrivals"",""Featured"",""Sports"",""Mens""]","
AFC Home Men's Long Sleeve Jersey
","[""high risk red-white""]"
http://eu.puma.com/it/en/pd/afc-home-mens-replica-jersey/749712.html,"[""Jerseys"",""Arsenal"",""Sports"",""Best Sellers"",""New Arrivals"",""Mens"",""Clothing"",""Featured""]","[""Jerseys"",""Arsenal"",""Sports"",""Best Sellers"",""New Arrivals"",""Mens"",""Clothing"",""Featured""]","
AFC Home Men's Replica Jersey
","[""high risk red-white""]"
http://eu.puma.com/it/en/pd/afc-home-womens-jersey/749696.html,"[""Jerseys"",""Womens"",""Clothing"",""Football"",""Sports""]","[""Jerseys"",""Womens"",""Clothing"",""Football"",""Sports""]","
AFC Home Women's Jersey
","[""high risk red-white""]"
http://eu.puma.com/it/en/pd/afc-home-womens-replica-jersey/749726.html,"[""Jerseys"",""Womens"",""Clothing"",""Football"",""Sports""]","[""Jerseys"",""Womens"",""Clothing"",""Football"",""Sports""]","
AFC Home Women's Replica Jersey
","[""high risk red-white""]"
http://eu.puma.com/it/en/pd/afc-kids-away-mini-kit/749732.html,"[""Boys"",""Football"",""Girls""]","[""Boys"",""Football"",""Girls""]","
AFC Kids' Away Mini Kit
","[""spectra yellow-ebony""]"
http://eu.puma.com/it/en/pd/afc-kids-backpack/074238.html,"[""Girls Accessories"",""Football"",""Girls"",""Accessories"",""Boys"",""Boys Accessories""]","[""Girls Accessories"",""Football"",""Girls"",""Accessories"",""Boys"",""Boys Accessories""]","
AFC Kids' Backpack
","[""High Risk Red-Black Iris""]"
http://eu.puma.com/it/en/pd/afc-kids-home-mini-kit/749730.html,"[""Girls Clothing"",""Boys Clothing"",""Football"",""Girls"",""Boys"",""Baby""]","[""Girls Clothing"",""Boys Clothing"",""Football"",""Girls"",""Boys"",""Baby""]","
AFC Kids' Home Mini Kit
","[""high risk red-white""]"
http://eu.puma.com/it/en/pd/afc-kids-replica-shorts/749725.html,"[""Boys"",""Boys Clothing"",""Football"",""Girls"",""Girls Clothing""]","[""Boys"",""Boys Clothing"",""Football"",""Girls"",""Girls Clothing""]","
AFC Kids' Replica Shorts
","[""white"",""ebony-spectra yellow""]"
http://eu.puma.com/it/en/pd/afc-medium-bag/073905.html,"[""Bags"",""Arsenal"",""Football"",""Accessories"",""Mens"",""Best Sellers"",""Womens"",""Sports"",""Featured""]","[""Bags"",""Arsenal"",""Football"",""Accessories"",""Mens"",""Best Sellers"",""Womens"",""Sports"",""Featured""]","
AFC Medium Bag
","[""puma red-black-white""]"
http://eu.puma.com/it/en/pd/afc-mens-authentic-home-jersey/749708.html,"[""Clothing"",""Arsenal"",""Sports"",""Featured"",""Mens"",""Jerseys""]","[""Clothing"",""Arsenal"",""Sports"",""Featured"",""Mens"",""Jerseys""]","
AFC Men's Authentic Home Jersey
","[""high risk red-white""]"
http://eu.puma.com/it/en/pd/afc-mens-away-socks/750307.html,"[""Arsenal"",""Socks"",""Accessories"",""Featured"",""New Arrivals"",""Mens"",""Sports""]","[""Arsenal"",""Socks"",""Accessories"",""Featured"",""New Arrivals"",""Mens"",""Sports""]","
AFC Men's Away Socks
","[""Spectra Yellow-Away 1""]"
http://eu.puma.com/it/en/pd/afc-mens-casuals-performance-track-jacket/749788.html,"[""Arsenal"",""Mens"",""Featured"",""Track Jackets"",""Sports"",""Clothing""]","[""Arsenal"",""Mens"",""Featured"",""Track Jackets"",""Sports"",""Clothing""]","
AFC Men's Casuals Performance Track Jacket
","[""peacoat-high risk red""]"
http://eu.puma.com/it/en/pd/afc-mens-goalkeeper-and-third-socks/749705.html,"[""Mens"",""Featured"",""Socks"",""Arsenal"",""Accessories"",""Sports"",""New Arrivals""]","[""Mens"",""Featured"",""Socks"",""Arsenal"",""Accessories"",""Sports"",""New Arrivals""]",,[]
